duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,image,model
0.984610,3.633362,2.925110,0.004028,0.643555,500b,resnet34
0.896074,3.624695,2.920288,0.010132,0.607422,500b,resnet34
0.937638,3.338440,2.695618,0.004639,0.620300,500b,resnet34
0.908560,3.546265,2.846924,0.008362,0.613220,500b,resnet34
0.992323,3.858093,3.135864,0.009155,0.684143,500b,resnet34
1.090214,3.848633,3.068787,0.009155,0.706848,500b,resnet34
0.975435,3.715759,2.923218,0.008240,0.657227,500b,resnet34
0.981107,3.584961,2.862488,0.009583,0.653137,500b,resnet34
0.891568,3.494934,2.824585,0.005371,0.597595,500b,resnet34
0.986954,3.751282,2.923462,0.009399,0.668091,500b,resnet34
0.890028,3.505066,2.837463,0.004883,0.592041,500b,resnet34
0.909481,3.697388,2.965149,0.010254,0.618591,500b,resnet34
0.970309,3.705017,3.001648,0.004944,0.648865,500b,resnet34
1.008706,3.749084,2.980957,0.008789,0.675598,500b,resnet34
1.096483,3.975037,3.133606,0.010681,0.721680,500b,resnet34
5.324995,34.230347,28.882507,0.081421,3.869629,500b,resnet50
0.999474,4.155945,3.392700,0.009460,0.704773,500b,resnet50
0.983778,4.003296,3.279541,0.009460,0.672302,500b,resnet50
1.001336,4.155029,3.346313,0.009399,0.713806,500b,resnet50
0.982047,4.088562,3.298645,0.008118,0.701904,500b,resnet50
0.996621,4.047424,3.293640,0.004639,0.690857,500b,resnet50
1.209800,4.545227,3.585693,0.011047,0.829102,500b,resnet50
0.967788,4.104065,3.303833,0.009277,0.698181,500b,resnet50
0.991638,4.081421,3.312378,0.008484,0.702026,500b,resnet50
0.989150,4.082153,3.347046,0.003784,0.688843,500b,resnet50
1.006180,4.116455,3.322815,0.009644,0.708130,500b,resnet50
0.995099,4.120728,3.369019,0.007141,0.710693,500b,resnet50
0.988566,4.133240,3.380615,0.004578,0.693237,500b,resnet50
